Balance Sheet,2021_q3,2021_q4,2022_q1,2022_q2,2022_q3,2022_q4,2023_q1,2023_q2,2023_q3,2023_q4,2024_q1,2024_q2
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,
VI. Tài sản dài hạn khác,,,,,,,,,,,,
1. Chi phí trả trước dài hạn,,,,,,,,,,,,
2. Tài sản thuế thu nhập hoãn lại,,,,,,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,,,,,,,,,,,,
NGUỒN VỐN,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,285035255000000.0,309517129000000.0,333850243000000.0,348022816000000.0,340910343000000.0,343069186000000.0,357247165000000.0,378662835000000.0,384419101000000.0,,,
I. Nợ ngắn hạn,,,,,78472013000000.0,,,,,,,
1. Phải trả người bán ngắn hạn,,,,,,,,,,,,
2. Người mua trả tiền trước ngắn hạn,,,,,,,,,,,,
3. Thuế và các khoản phải nộp nhà nước,,,,,,,,,,,,
4. Phải trả người lao động,,,,,,,,,,,,
5. Chi phí phải trả ngắn hạn,,,,,,,,,,,,
6. Phải trả nội bộ ngắn hạn,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,,,,
9. Phải trả ngắn hạn khác,,,,,,,,,,,,
10. Vay và nợ thuê tài chính ngắn hạn,59685144000000.0,64456470000000.0,75387839000000.0,75311372000000.0,49906439000000.0,71166441000000.0,86315743000000.0,106384817000000.0,98342851000000.0,,,
11. Dự phòng phải trả ngắn hạn,35911840000000.0,38019670000000.0,43889559000000.0,41048773000000.0,,45957711000000.0,67893907000000.0,83951657000000.0,75497339000000.0,,,
12. Quỹ khen thưởng phúc lợi,23773304000000.0,26436800000000.0,31498280000000.0,34262599000000.0,28565574000000.0,25208730000000.0,18421836000000.0,22433160000000.0,22845512000000.0,,,
13. Quỹ bình ổn giá,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,
II. Nợ dài hạn,170590963000000.0,173564890000000.0,183802071000000.0,197169492000000.0,189033408000000.0,200123940000000.0,199267040000000.0,205302772000000.0,213533762000000.0,,,
1. Phải trả người bán dài hạn,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,,,,,,,
3. Chi phí phải trả dài hạn,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,,,,,,,
7. Phải trả dài hạn khác,,,,,,,,,,,,
8. Vay và nợ thuê tài chính dài hạn,,,,,,,,,,,,
9. Trái phiếu chuyển đổi,,,,,,,,,,,,
10. Cổ phiếu ưu đãi,304384000000.0,63933000000.0,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả,,,,,,,,,,,,
12. Dự phòng phải trả dài hạn,,,,,,,,,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,,,,,,,,
D.VỐN CHỦ SỞ HỮU,262876686000000.0,285226389000000.0,307838772000000.0,319773142000000.0,310432602000000.0,310418141000000.0,324676749000000.0,344752989000000.0,348379345000000.0,,,
I. Vốn chủ sở hữu,,,,,,,,,,,,
1. Vốn góp của chủ sở hữu,15531430000000.0,15531430000000.0,15531430000000.0,21076730000000.0,21076730000000.0,21076730000000.0,21076730000000.0,25368075000000.0,25368075000000.0,,,
- Cổ phiếu phổ thông có quyền biểu quyết,,,,,,,,,,,,
- Cổ phiếu ưu đãi,,,,,,,,,,,,
2. Thặng dư vốn cổ phần,,,,,,,,,,,,
3. Quyền chọn chuyển đổi trái phiếu,1480000000.0,1480000000.0,1480000000.0,1540000000.0,1540000000.0,1540000000.0,1540000000.0,1540000000.0,1633000000.0,,,
4. Vốn khác của chủ sở hữu,,,,,,,,,3470408000000.0,,,
5. Cổ phiếu quỹ,,,,,,,,,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,,,,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,,,,,,,,
8. Quỹ đầu tư phát triển,,,,,,,,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,,,,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,1786751000000.0,1786751000000.0,2746536000000.0,2517553000000.0,2517553000000.0,2517533000000.0,3790336000000.0,3470408000000.0,,,,
11. Lợi nhuận sau thuế chưa phân phối,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước,,,,,,,,,,,,
- LNST chưa phân phối kỳ này,,,,,,,,,,,,
12. Nguồn vốn đầu tư XDCB,,,,,,,,,,,,
13. Lợi ích cổ đông không kiểm soát,,,,,,,,,,,,
II. Nguồn kinh phí và quỹ khác,5530000000.0,,-2405000000.0,40430000000.0,35090000000.0,,-18750000000.0,16119000000.0,-1051000000.0,,,
1. Nguồn kinh phí,,,,,,,,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,,,,,,,,
TỔNG CỘNG NGUỒN VỐN,,,,,,,,,,,,
